stid	a1	a2	a3	a4	a5	a6	a7
Cfre-ST-1	Cfre-clpX-1	Cfre-mdh-1	Cfre-aspC-2	Cfre-arcA-2	Cfre-dnaG-1	Cfre-fadD-1	Cfre-lysP-1
Cfre-ST-2	Cfre-clpX-2	Cfre-mdh-3	Cfre-aspC-1	Cfre-arcA-1	Cfre-dnaG-2	Cfre-fadD-2	Cfre-lysP-2
Cfre-ST-3	Cfre-clpX-1	Cfre-mdh-4	Cfre-aspC-2	Cfre-arcA-2	Cfre-dnaG-1	Cfre-fadD-1	Cfre-lysP-1
Cfre-ST-4	Cfre-clpX-1	Cfre-mdh-4	Cfre-aspC-2	Cfre-arcA-3	Cfre-dnaG-1	Cfre-fadD-5	Cfre-lysP-1
Cfre-ST-5	Cfre-clpX-2	Cfre-mdh-3	Cfre-aspC-1	Cfre-arcA-1	Cfre-dnaG-2	Cfre-fadD-3	Cfre-lysP-2
Cfre-ST-6	Cfre-clpX-3	Cfre-mdh-2	Cfre-aspC-3	Cfre-arcA-4	Cfre-dnaG-3	Cfre-fadD-4	Cfre-lysP-3
Cfre-ST-7	Cfre-clpX-4	Cfre-mdh-5	Cfre-aspC-4	Cfre-arcA-1	Cfre-dnaG-4	Cfre-fadD-6	Cfre-lysP-4
Cfre-ST-8	Cfre-clpX-5	Cfre-mdh-6	Cfre-aspC-5	Cfre-arcA-5	Cfre-dnaG-5	Cfre-fadD-7	Cfre-lysP-5
Cfre-ST-9	Cfre-clpX-6	Cfre-mdh-7	Cfre-aspC-6	Cfre-arcA-1	Cfre-dnaG-1	Cfre-fadD-8	Cfre-lysP-12
Cfre-ST-10	Cfre-clpX-6	Cfre-mdh-7	Cfre-aspC-7	Cfre-arcA-6	Cfre-dnaG-1	Cfre-fadD-9	Cfre-lysP-6
Cfre-ST-11	Cfre-clpX-7	Cfre-mdh-8	Cfre-aspC-8	Cfre-arcA-7	Cfre-dnaG-6	Cfre-fadD-10	Cfre-lysP-11
Cfre-ST-12	Cfre-clpX-8	Cfre-mdh-13	Cfre-aspC-8	Cfre-arcA-7	Cfre-dnaG-11	Cfre-fadD-11	Cfre-lysP-7
Cfre-ST-13	Cfre-clpX-9	Cfre-mdh-9	Cfre-aspC-9	Cfre-arcA-3	Cfre-dnaG-7	Cfre-fadD-12	Cfre-lysP-8
Cfre-ST-14	Cfre-clpX-12	Cfre-mdh-10	Cfre-aspC-10	Cfre-arcA-10	Cfre-dnaG-10	Cfre-fadD-13	Cfre-lysP-11
Cfre-ST-15	Cfre-clpX-11	Cfre-mdh-11	Cfre-aspC-9	Cfre-arcA-8	Cfre-dnaG-8	Cfre-fadD-15	Cfre-lysP-10
Cfre-ST-16	Cfre-clpX-12	Cfre-mdh-6	Cfre-aspC-11	Cfre-arcA-9	Cfre-dnaG-9	Cfre-fadD-14	Cfre-lysP-11
Cfre-ST-17	Cfre-clpX-13	Cfre-mdh-11	Cfre-aspC-12	Cfre-arcA-4	Cfre-dnaG-3	Cfre-fadD-16	Cfre-lysP-13
Cfre-ST-18	Cfre-clpX-14	Cfre-mdh-12	Cfre-aspC-10	Cfre-arcA-5	Cfre-dnaG-5	Cfre-fadD-17	Cfre-lysP-14
Cfre-ST-19	Cfre-clpX-12	Cfre-mdh-6	Cfre-aspC-11	Cfre-arcA-5	Cfre-dnaG-9	Cfre-fadD-14	Cfre-lysP-11
Cfre-ST-20	Cfre-clpX-15	Cfre-mdh-14	Cfre-aspC-13	Cfre-arcA-11	Cfre-dnaG-12	Cfre-fadD-18	Cfre-lysP-15
Cfre-ST-21	Cfre-clpX-16	Cfre-mdh-1	Cfre-aspC-14	Cfre-arcA-1	Cfre-dnaG-13	Cfre-fadD-19	Cfre-lysP-16
Cfre-ST-22	Cfre-clpX-12	Cfre-mdh-15	Cfre-aspC-15	Cfre-arcA-5	Cfre-dnaG-11	Cfre-fadD-20	Cfre-lysP-17
Cfre-ST-23	Cfre-clpX-17	Cfre-mdh-16	Cfre-aspC-16	Cfre-arcA-12	Cfre-dnaG-11	Cfre-fadD-20	Cfre-lysP-11
Cfre-ST-24	Cfre-clpX-12	Cfre-mdh-6	Cfre-aspC-17	Cfre-arcA-5	Cfre-dnaG-9	Cfre-fadD-14	Cfre-lysP-11
Cfre-ST-25	Cfre-clpX-18	Cfre-mdh-17	Cfre-aspC-18	Cfre-arcA-13	Cfre-dnaG-14	Cfre-fadD-21	Cfre-lysP-18
Cfre-ST-26	Cfre-clpX-19	Cfre-mdh-18	Cfre-aspC-19	Cfre-arcA-14	Cfre-dnaG-15	Cfre-fadD-22	Cfre-lysP-19
Cfre-ST-27	Cfre-clpX-20	Cfre-mdh-19	Cfre-aspC-20	Cfre-arcA-14	Cfre-dnaG-16	Cfre-fadD-23	Cfre-lysP-20
Cfre-ST-28	Cfre-clpX-21	Cfre-mdh-20	Cfre-aspC-21	Cfre-arcA-15	Cfre-dnaG-17	Cfre-fadD-24	Cfre-lysP-21
Cfre-ST-29	Cfre-clpX-22	Cfre-mdh-14	Cfre-aspC-22	Cfre-arcA-16	Cfre-dnaG-18	Cfre-fadD-25	Cfre-lysP-22
