stid	a1	a2	a3	a4	a5	a6	a7
Cjej-ST-1	Cjej-aspA-2	Cjej-glnA-1	Cjej-pgm-4	Cjej-tkt-1	Cjej-glyA-3	Cjej-uncA-5	Cjej-gltA-54
Cjej-ST-2	Cjej-aspA-4	Cjej-glnA-7	Cjej-pgm-1	Cjej-tkt-7	Cjej-glyA-4	Cjej-uncA-1	Cjej-gltA-51
Cjej-ST-3	Cjej-aspA-3	Cjej-glnA-2	Cjej-pgm-11	Cjej-tkt-11	Cjej-glyA-10	Cjej-uncA-6	Cjej-gltA-5
Cjej-ST-4	Cjej-aspA-10	Cjej-glnA-11	Cjej-pgm-10	Cjej-tkt-5	Cjej-glyA-7	Cjej-uncA-7	Cjej-gltA-16
Cjej-ST-5	Cjej-aspA-7	Cjej-glnA-2	Cjej-pgm-10	Cjej-tkt-3	Cjej-glyA-2	Cjej-uncA-6	Cjej-gltA-5
Cjej-ST-6	Cjej-aspA-63	Cjej-glnA-34	Cjej-pgm-45	Cjej-tkt-5	Cjej-glyA-33	Cjej-uncA-7	Cjej-gltA-27
Cjej-ST-7	Cjej-aspA-8	Cjej-glnA-10	Cjej-pgm-14	Cjej-tkt-12	Cjej-glyA-2	Cjej-uncA-6	Cjej-gltA-2
Cjej-ST-8	Cjej-aspA-2	Cjej-glnA-1	Cjej-pgm-2	Cjej-tkt-1	Cjej-glyA-3	Cjej-uncA-6	Cjej-gltA-1
Cjej-ST-9	Cjej-aspA-1	Cjej-glnA-6	Cjej-pgm-12	Cjej-tkt-7	Cjej-glyA-24	Cjej-uncA-1	Cjej-gltA-22
Cjej-ST-10	Cjej-aspA-2	Cjej-glnA-59	Cjej-pgm-17	Cjej-tkt-12	Cjej-glyA-38	Cjej-uncA-5	Cjej-gltA-4
Cjej-ST-11	Cjej-aspA-48	Cjej-glnA-7	Cjej-pgm-1	Cjej-tkt-7	Cjej-glyA-4	Cjej-uncA-1	Cjej-gltA-10
Cjej-ST-12	Cjej-aspA-7	Cjej-glnA-1	Cjej-pgm-11	Cjej-tkt-3	Cjej-glyA-2	Cjej-uncA-6	Cjej-gltA-5
Cjej-ST-13	Cjej-aspA-2	Cjej-glnA-1	Cjej-pgm-2	Cjej-tkt-1	Cjej-glyA-9	Cjej-uncA-5	Cjej-gltA-1
Cjej-ST-14	Cjej-aspA-9	Cjej-glnA-2	Cjej-pgm-4	Cjej-tkt-5	Cjej-glyA-62	Cjej-uncA-6	Cjej-gltA-55
Cjej-ST-15	Cjej-aspA-6	Cjej-glnA-4	Cjej-pgm-2	Cjej-tkt-1	Cjej-glyA-2	Cjej-uncA-5	Cjej-gltA-13
Cjej-ST-16	Cjej-aspA-1	Cjej-glnA-3	Cjej-pgm-3	Cjej-tkt-3	Cjej-glyA-4	Cjej-uncA-6	Cjej-gltA-6
Cjej-ST-17	Cjej-aspA-9	Cjej-glnA-2	Cjej-pgm-4	Cjej-tkt-5	Cjej-glyA-6	Cjej-uncA-6	Cjej-gltA-4
Cjej-ST-18	Cjej-aspA-2	Cjej-glnA-1	Cjej-pgm-2	Cjej-tkt-1	Cjej-glyA-3	Cjej-uncA-5	Cjej-gltA-13
