stid	a1	a2	a3	a4	a5	a6	a7
Ecol-ST-1	Ecol-MDH-4	Ecol-GYRB-2	Ecol-RECA-4	Ecol-ICD-4	Ecol-PURA-4	Ecol-FUMC-2	Ecol-ADK-4
Ecol-ST-2	Ecol-MDH-5	Ecol-GYRB-2	Ecol-RECA-4	Ecol-ICD-6	Ecol-PURA-5	Ecol-FUMC-3	Ecol-ADK-5
Ecol-ST-3	Ecol-MDH-7	Ecol-GYRB-3	Ecol-RECA-6	Ecol-ICD-7	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-4	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-5	Ecol-ADK-6
Ecol-ST-5	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-9	Ecol-PURA-8	Ecol-FUMC-6	Ecol-ADK-7
Ecol-ST-6	Ecol-MDH-10	Ecol-GYRB-1	Ecol-RECA-6	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-7	Ecol-ADK-8
Ecol-ST-7	Ecol-MDH-11	Ecol-GYRB-5	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-8	Ecol-FUMC-8	Ecol-ADK-9
Ecol-ST-8	Ecol-MDH-12	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-10	Ecol-PURA-9	Ecol-FUMC-9	Ecol-ADK-10
Ecol-ST-9	Ecol-MDH-7	Ecol-GYRB-3	Ecol-RECA-8	Ecol-ICD-7	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-10	Ecol-MDH-8	Ecol-GYRB-4	Ecol-RECA-2	Ecol-ICD-8	Ecol-PURA-8	Ecol-FUMC-11	Ecol-ADK-10
Ecol-ST-11	Ecol-MDH-15	Ecol-GYRB-8	Ecol-RECA-2	Ecol-ICD-12	Ecol-PURA-2	Ecol-FUMC-12	Ecol-ADK-12
Ecol-ST-12	Ecol-MDH-16	Ecol-GYRB-9	Ecol-RECA-9	Ecol-ICD-13	Ecol-PURA-10	Ecol-FUMC-13	Ecol-ADK-13
Ecol-ST-13	Ecol-MDH-9	Ecol-GYRB-5	Ecol-RECA-2	Ecol-ICD-9	Ecol-PURA-8	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-14	Ecol-MDH-17	Ecol-GYRB-10	Ecol-RECA-10	Ecol-ICD-14	Ecol-PURA-7	Ecol-FUMC-14	Ecol-ADK-14
Ecol-ST-15	Ecol-MDH-18	Ecol-GYRB-11	Ecol-RECA-11	Ecol-ICD-15	Ecol-PURA-11	Ecol-FUMC-15	Ecol-ADK-15
Ecol-ST-16	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-12	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-17	Ecol-MDH-7	Ecol-GYRB-3	Ecol-RECA-6	Ecol-ICD-17	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-18	Ecol-MDH-19	Ecol-GYRB-10	Ecol-RECA-10	Ecol-ICD-14	Ecol-PURA-7	Ecol-FUMC-14	Ecol-ADK-14
Ecol-ST-19	Ecol-MDH-18	Ecol-GYRB-10	Ecol-RECA-11	Ecol-ICD-15	Ecol-PURA-12	Ecol-FUMC-16	Ecol-ADK-15
Ecol-ST-20	Ecol-MDH-7	Ecol-GYRB-3	Ecol-RECA-6	Ecol-ICD-18	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-21	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-16
Ecol-ST-22	Ecol-MDH-1	Ecol-GYRB-7	Ecol-RECA-2	Ecol-ICD-19	Ecol-PURA-2	Ecol-FUMC-17	Ecol-ADK-6
Ecol-ST-23	Ecol-MDH-20	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-1	Ecol-PURA-13	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-24	Ecol-MDH-18	Ecol-GYRB-13	Ecol-RECA-13	Ecol-ICD-20	Ecol-PURA-14	Ecol-FUMC-18	Ecol-ADK-17
Ecol-ST-25	Ecol-MDH-9	Ecol-GYRB-14	Ecol-RECA-7	Ecol-ICD-21	Ecol-PURA-7	Ecol-FUMC-6	Ecol-ADK-6
Ecol-ST-26	Ecol-MDH-11	Ecol-GYRB-15	Ecol-RECA-14	Ecol-ICD-18	Ecol-PURA-8	Ecol-FUMC-19	Ecol-ADK-6
Ecol-ST-27	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-20	Ecol-ADK-16
Ecol-ST-28	Ecol-MDH-17	Ecol-GYRB-13	Ecol-RECA-15	Ecol-ICD-22	Ecol-PURA-14	Ecol-FUMC-21	Ecol-ADK-13
Ecol-ST-29	Ecol-MDH-9	Ecol-GYRB-12	Ecol-RECA-7	Ecol-ICD-16	Ecol-PURA-7	Ecol-FUMC-4	Ecol-ADK-6
Ecol-ST-30	Ecol-MDH-5	Ecol-GYRB-16	Ecol-RECA-4	Ecol-ICD-23	Ecol-PURA-15	Ecol-FUMC-22	Ecol-ADK-18
