stid	a1	a2	a3	a4	a5	a6	a7
Koxy-ST-1	Koxy-gapA-1	Koxy-mdh-1	Koxy-tonB-1	Koxy-infB-1	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-1
Koxy-ST-2	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-2
Koxy-ST-3	Koxy-gapA-2	Koxy-mdh-2	Koxy-tonB-3	Koxy-infB-3	Koxy-pgi-2	Koxy-rpoB-1	Koxy-phoE-3
Koxy-ST-4	Koxy-gapA-2	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-3	Koxy-rpoB-2	Koxy-phoE-4
Koxy-ST-5	Koxy-gapA-2	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-3	Koxy-rpoB-2	Koxy-phoE-5
Koxy-ST-9	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-7	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-9
Koxy-ST-10	Koxy-gapA-3	Koxy-mdh-6	Koxy-tonB-7	Koxy-infB-8	Koxy-pgi-7	Koxy-rpoB-6	Koxy-phoE-10
Koxy-ST-11	Koxy-gapA-3	Koxy-mdh-7	Koxy-tonB-5	Koxy-infB-5	Koxy-pgi-8	Koxy-rpoB-6	Koxy-phoE-11
Koxy-ST-12	Koxy-gapA-3	Koxy-mdh-3	Koxy-tonB-4	Koxy-infB-4	Koxy-pgi-4	Koxy-rpoB-3	Koxy-phoE-12
Koxy-ST-13	Koxy-gapA-3	Koxy-mdh-8	Koxy-tonB-8	Koxy-infB-9	Koxy-pgi-9	Koxy-rpoB-6	Koxy-phoE-13
Koxy-ST-14	Koxy-gapA-4	Koxy-mdh-9	Koxy-tonB-9	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-7	Koxy-phoE-4
Koxy-ST-15	Koxy-gapA-4	Koxy-mdh-5	Koxy-tonB-6	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-5	Koxy-phoE-8
Koxy-ST-16	Koxy-gapA-5	Koxy-mdh-10	Koxy-tonB-9	Koxy-infB-10	Koxy-pgi-10	Koxy-rpoB-5	Koxy-phoE-14
Koxy-ST-17	Koxy-gapA-4	Koxy-mdh-11	Koxy-tonB-9	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-8	Koxy-phoE-15
Koxy-ST-18	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-3	Koxy-rpoB-1	Koxy-phoE-2
Koxy-ST-19	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-16
Koxy-ST-20	Koxy-gapA-1	Koxy-mdh-12	Koxy-tonB-1	Koxy-infB-11	Koxy-pgi-1	Koxy-rpoB-9	Koxy-phoE-4
Koxy-ST-21	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-1	Koxy-infB-12	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-2
Koxy-ST-22	Koxy-gapA-1	Koxy-mdh-13	Koxy-tonB-10	Koxy-infB-3	Koxy-pgi-1	Koxy-rpoB-10	Koxy-phoE-2
Koxy-ST-23	Koxy-gapA-4	Koxy-mdh-5	Koxy-tonB-6	Koxy-infB-6	Koxy-pgi-6	Koxy-rpoB-7	Koxy-phoE-15
Koxy-ST-24	Koxy-gapA-4	Koxy-mdh-14	Koxy-tonB-9	Koxy-infB-6	Koxy-pgi-11	Koxy-rpoB-11	Koxy-phoE-15
Koxy-ST-26	Koxy-gapA-3	Koxy-mdh-4	Koxy-tonB-5	Koxy-infB-5	Koxy-pgi-13	Koxy-rpoB-4	Koxy-phoE-17
Koxy-ST-27	Koxy-gapA-3	Koxy-mdh-7	Koxy-tonB-5	Koxy-infB-5	Koxy-pgi-13	Koxy-rpoB-4	Koxy-phoE-17
Koxy-ST-28	Koxy-gapA-3	Koxy-mdh-7	Koxy-tonB-5	Koxy-infB-5	Koxy-pgi-8	Koxy-rpoB-12	Koxy-phoE-11
Koxy-ST-29	Koxy-gapA-3	Koxy-mdh-15	Koxy-tonB-11	Koxy-infB-4	Koxy-pgi-8	Koxy-rpoB-6	Koxy-phoE-18
Koxy-ST-30	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-14	Koxy-rpoB-9	Koxy-phoE-19
Koxy-ST-31	Koxy-gapA-1	Koxy-mdh-1	Koxy-tonB-1	Koxy-infB-13	Koxy-pgi-15	Koxy-rpoB-1	Koxy-phoE-4
Koxy-ST-32	Koxy-gapA-3	Koxy-mdh-16	Koxy-tonB-12	Koxy-infB-8	Koxy-pgi-16	Koxy-rpoB-6	Koxy-phoE-20
Koxy-ST-33	Koxy-gapA-1	Koxy-mdh-1	Koxy-tonB-1	Koxy-infB-7	Koxy-pgi-1	Koxy-rpoB-1	Koxy-phoE-2
Koxy-ST-34	Koxy-gapA-2	Koxy-mdh-2	Koxy-tonB-2	Koxy-infB-2	Koxy-pgi-17	Koxy-rpoB-1	Koxy-phoE-2
Koxy-ST-35	Koxy-gapA-3	Koxy-mdh-17	Koxy-tonB-13	Koxy-infB-8	Koxy-pgi-7	Koxy-rpoB-6	Koxy-phoE-20
Koxy-ST-36	Koxy-gapA-1	Koxy-mdh-2	Koxy-tonB-14	Koxy-infB-7	Koxy-pgi-15	Koxy-rpoB-1	Koxy-phoE-21
Koxy-ST-37	Koxy-gapA-1	Koxy-mdh-1	Koxy-tonB-15	Koxy-infB-7	Koxy-pgi-18	Koxy-rpoB-13	Koxy-phoE-4
Koxy-ST-38	Koxy-gapA-5	Koxy-mdh-18	Koxy-tonB-16	Koxy-infB-6	Koxy-pgi-10	Koxy-rpoB-8	Koxy-phoE-15
Koxy-ST-39	Koxy-gapA-6	Koxy-mdh-19	Koxy-tonB-17	Koxy-infB-6	Koxy-pgi-6	Koxy-rpoB-7	Koxy-phoE-22
Koxy-ST-40	Koxy-gapA-3	Koxy-mdh-20	Koxy-tonB-18	Koxy-infB-8	Koxy-pgi-7	Koxy-rpoB-14	Koxy-phoE-23
Koxy-ST-41	Koxy-gapA-3	Koxy-mdh-8	Koxy-tonB-8	Koxy-infB-9	Koxy-pgi-9	Koxy-rpoB-15	Koxy-phoE-20
Koxy-ST-42	Koxy-gapA-3	Koxy-mdh-21	Koxy-tonB-19	Koxy-infB-5	Koxy-pgi-19	Koxy-rpoB-16	Koxy-phoE-24
