stid	a1	a2	a3	a4	a5	a6	a7
Ngon-ST-1	Ngon-pgm-3	Ngon-fumC-1	Ngon-aroE-1	Ngon-gdh-1	Ngon-pdhC-1	Ngon-adk-3	Ngon-abcZ-1
Ngon-ST-2	Ngon-pgm-3	Ngon-fumC-7	Ngon-aroE-4	Ngon-gdh-1	Ngon-pdhC-1	Ngon-adk-3	Ngon-abcZ-1
Ngon-ST-3	Ngon-pgm-13	Ngon-fumC-1	Ngon-aroE-1	Ngon-gdh-1	Ngon-pdhC-23	Ngon-adk-3	Ngon-abcZ-1
Ngon-ST-4	Ngon-pgm-3	Ngon-fumC-1	Ngon-aroE-3	Ngon-gdh-4	Ngon-pdhC-2	Ngon-adk-3	Ngon-abcZ-1
Ngon-ST-5	Ngon-pgm-3	Ngon-fumC-1	Ngon-aroE-2	Ngon-gdh-3	Ngon-pdhC-2	Ngon-adk-1	Ngon-abcZ-1
Ngon-ST-6	Ngon-pgm-11	Ngon-fumC-1	Ngon-aroE-2	Ngon-gdh-3	Ngon-pdhC-2	Ngon-adk-1	Ngon-abcZ-1
Ngon-ST-7	Ngon-pgm-19	Ngon-fumC-1	Ngon-aroE-2	Ngon-gdh-3	Ngon-pdhC-2	Ngon-adk-1	Ngon-abcZ-1
Ngon-ST-8	Ngon-pgm-2	Ngon-fumC-2	Ngon-aroE-7	Ngon-gdh-8	Ngon-pdhC-5	Ngon-adk-3	Ngon-abcZ-2
Ngon-ST-9	Ngon-pgm-2	Ngon-fumC-10	Ngon-aroE-8	Ngon-gdh-8	Ngon-pdhC-5	Ngon-adk-3	Ngon-abcZ-2
Ngon-ST-10	Ngon-pgm-2	Ngon-fumC-2	Ngon-aroE-4	Ngon-gdh-8	Ngon-pdhC-15	Ngon-adk-3	Ngon-abcZ-2
Ngon-ST-11	Ngon-pgm-6	Ngon-fumC-3	Ngon-aroE-4	Ngon-gdh-8	Ngon-pdhC-4	Ngon-adk-3	Ngon-abcZ-2
Ngon-ST-12	Ngon-pgm-20	Ngon-fumC-16	Ngon-aroE-2	Ngon-gdh-8	Ngon-pdhC-11	Ngon-adk-3	Ngon-abcZ-4
Ngon-ST-13	Ngon-pgm-1	Ngon-fumC-7	Ngon-aroE-15	Ngon-gdh-8	Ngon-pdhC-11	Ngon-adk-10	Ngon-abcZ-4
Ngon-ST-14	Ngon-pgm-1	Ngon-fumC-7	Ngon-aroE-15	Ngon-gdh-8	Ngon-pdhC-11	Ngon-adk-1	Ngon-abcZ-4
Ngon-ST-15	Ngon-pgm-9	Ngon-fumC-1	Ngon-aroE-16	Ngon-gdh-3	Ngon-pdhC-11	Ngon-adk-3	Ngon-abcZ-13
Ngon-ST-16	Ngon-pgm-15	Ngon-fumC-13	Ngon-aroE-9	Ngon-gdh-8	Ngon-pdhC-19	Ngon-adk-9	Ngon-abcZ-15
Ngon-ST-17	Ngon-pgm-4	Ngon-fumC-1	Ngon-aroE-13	Ngon-gdh-11	Ngon-pdhC-12	Ngon-adk-3	Ngon-abcZ-8
Ngon-ST-18	Ngon-pgm-2	Ngon-fumC-19	Ngon-aroE-10	Ngon-gdh-10	Ngon-pdhC-1	Ngon-adk-8	Ngon-abcZ-7
Ngon-ST-19	Ngon-pgm-2	Ngon-fumC-19	Ngon-aroE-10	Ngon-gdh-8	Ngon-pdhC-1	Ngon-adk-8	Ngon-abcZ-7
Ngon-ST-20	Ngon-pgm-2	Ngon-fumC-17	Ngon-aroE-10	Ngon-gdh-10	Ngon-pdhC-1	Ngon-adk-8	Ngon-abcZ-6
Ngon-ST-21	Ngon-pgm-17	Ngon-fumC-1	Ngon-aroE-1	Ngon-gdh-2	Ngon-pdhC-16	Ngon-adk-5	Ngon-abcZ-1
Ngon-ST-22	Ngon-pgm-21	Ngon-fumC-8	Ngon-aroE-18	Ngon-gdh-11	Ngon-pdhC-24	Ngon-adk-5	Ngon-abcZ-11
Ngon-ST-23	Ngon-pgm-17	Ngon-fumC-9	Ngon-aroE-18	Ngon-gdh-11	Ngon-pdhC-9	Ngon-adk-5	Ngon-abcZ-10
Ngon-ST-24	Ngon-pgm-5	Ngon-fumC-7	Ngon-aroE-2	Ngon-gdh-15	Ngon-pdhC-20	Ngon-adk-5	Ngon-abcZ-2
Ngon-ST-25	Ngon-pgm-14	Ngon-fumC-12	Ngon-aroE-2	Ngon-gdh-6	Ngon-pdhC-13	Ngon-adk-5	Ngon-abcZ-6
Ngon-ST-26	Ngon-pgm-14	Ngon-fumC-12	Ngon-aroE-2	Ngon-gdh-12	Ngon-pdhC-10	Ngon-adk-5	Ngon-abcZ-6
Ngon-ST-27	Ngon-pgm-2	Ngon-fumC-5	Ngon-aroE-6	Ngon-gdh-7	Ngon-pdhC-18	Ngon-adk-5	Ngon-abcZ-3
Ngon-ST-28	Ngon-pgm-2	Ngon-fumC-17	Ngon-aroE-6	Ngon-gdh-5	Ngon-pdhC-18	Ngon-adk-4	Ngon-abcZ-13
Ngon-ST-29	Ngon-pgm-8	Ngon-fumC-9	Ngon-aroE-6	Ngon-gdh-16	Ngon-pdhC-18	Ngon-adk-7	Ngon-abcZ-2
Ngon-ST-30	Ngon-pgm-8	Ngon-fumC-5	Ngon-aroE-6	Ngon-gdh-1	Ngon-pdhC-21	Ngon-adk-5	Ngon-abcZ-6
Ngon-ST-31	Ngon-pgm-18	Ngon-fumC-2	Ngon-aroE-6	Ngon-gdh-3	Ngon-pdhC-8	Ngon-adk-5	Ngon-abcZ-14
Ngon-ST-32	Ngon-pgm-8	Ngon-fumC-4	Ngon-aroE-5	Ngon-gdh-6	Ngon-pdhC-3	Ngon-adk-10	Ngon-abcZ-4
