stid	a1	a2	a3	a4	a5	a6	a7
Paer-ST-1	Paer-mut-1	Paer-gua-1	Paer-acs-1	Paer-nuo-1	Paer-trp-1	Paer-pps-1	Paer-aro-1
Paer-ST-2	Paer-mut-3	Paer-gua-1	Paer-acs-6	Paer-nuo-4	Paer-trp-17	Paer-pps-4	Paer-aro-130
Paer-ST-3	Paer-mut-13	Paer-gua-110	Paer-acs-9	Paer-nuo-15	Paer-trp-5	Paer-pps-6	Paer-aro-22
Paer-ST-4	Paer-mut-3	Paer-gua-1	Paer-acs-17	Paer-nuo-11	Paer-trp-111	Paer-pps-12	Paer-aro-137
Paer-ST-5	Paer-mut-11	Paer-gua-6	Paer-acs-17	Paer-nuo-4	Paer-trp-7	Paer-pps-91	Paer-aro-138
Paer-ST-6	Paer-mut-118	Paer-gua-77	Paer-acs-18	Paer-nuo-4	Paer-trp-7	Paer-pps-4	Paer-aro-139
Paer-ST-7	Paer-mut-119	Paer-gua-91	Paer-acs-19	Paer-nuo-4	Paer-trp-2	Paer-pps-15	Paer-aro-5
Paer-ST-8	Paer-mut-5	Paer-gua-1	Paer-acs-19	Paer-nuo-4	Paer-trp-118	Paer-pps-92	Paer-aro-10
Paer-ST-9	Paer-mut-3	Paer-gua-4	Paer-acs-6	Paer-nuo-3	Paer-trp-7	Paer-pps-4	Paer-aro-6
Paer-ST-10	Paer-mut-13	Paer-gua-112	Paer-acs-27	Paer-nuo-12	Paer-trp-119	Paer-pps-6	Paer-aro-1
Paer-ST-11	Paer-mut-7	Paer-gua-11	Paer-acs-28	Paer-nuo-3	Paer-trp-7	Paer-pps-13	Paer-aro-5
Paer-ST-12	Paer-mut-3	Paer-gua-1	Paer-acs-28	Paer-nuo-4	Paer-trp-120	Paer-pps-4	Paer-aro-5
Paer-ST-13	Paer-mut-3	Paer-gua-36	Paer-acs-28	Paer-nuo-3	Paer-trp-121	Paer-pps-13	Paer-aro-5
Paer-ST-14	Paer-mut-18	Paer-gua-11	Paer-acs-28	Paer-nuo-3	Paer-trp-3	Paer-pps-13	Paer-aro-5
Paer-ST-15	Paer-mut-18	Paer-gua-11	Paer-acs-28	Paer-nuo-3	Paer-trp-27	Paer-pps-7	Paer-aro-5
Paer-ST-16	Paer-mut-11	Paer-gua-12	Paer-acs-28	Paer-nuo-27	Paer-trp-44	Paer-pps-1	Paer-aro-5
Paer-ST-17	Paer-mut-7	Paer-gua-1	Paer-acs-11	Paer-nuo-9	Paer-trp-7	Paer-pps-4	Paer-aro-5
Paer-ST-18	Paer-mut-11	Paer-gua-1	Paer-acs-6	Paer-nuo-4	Paer-trp-10	Paer-pps-7	Paer-aro-4
Paer-ST-19	Paer-mut-6	Paer-gua-10	Paer-acs-14	Paer-nuo-6	Paer-trp-5	Paer-pps-10	Paer-aro-146
Paer-ST-20	Paer-mut-3	Paer-gua-11	Paer-acs-15	Paer-nuo-1	Paer-trp-11	Paer-pps-7	Paer-aro-5
Paer-ST-21	Paer-mut-11	Paer-gua-12	Paer-acs-16	Paer-nuo-1	Paer-trp-1	Paer-pps-2	Paer-aro-5
Paer-ST-22	Paer-mut-3	Paer-gua-4	Paer-acs-6	Paer-nuo-3	Paer-trp-2	Paer-pps-11	Paer-aro-4
Paer-ST-23	Paer-mut-5	Paer-gua-5	Paer-acs-18	Paer-nuo-5	Paer-trp-4	Paer-pps-4	Paer-aro-4
Paer-ST-24	Paer-mut-11	Paer-gua-12	Paer-acs-18	Paer-nuo-2	Paer-trp-2	Paer-pps-6	Paer-aro-5
Paer-ST-25	Paer-mut-7	Paer-gua-12	Paer-acs-19	Paer-nuo-4	Paer-trp-7	Paer-pps-10	Paer-aro-5
