stid	a1	a2	a3	a4	a5	a6	a7
Saur-ST-1	Saur-pta_-1	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-1	Saur-arcc-1	Saur-tpi_-1	Saur-yqil-1
Saur-ST-2	Saur-pta_-2	Saur-gmk_-2	Saur-glpf-2	Saur-aroe-2	Saur-arcc-2	Saur-tpi_-2	Saur-yqil-26
Saur-ST-3	Saur-pta_-1	Saur-gmk_-9	Saur-glpf-1	Saur-aroe-1	Saur-arcc-1	Saur-tpi_-1	Saur-yqil-12
Saur-ST-4	Saur-pta_-10	Saur-gmk_-6	Saur-glpf-8	Saur-aroe-10	Saur-arcc-10	Saur-tpi_-3	Saur-yqil-2
Saur-ST-5	Saur-pta_-12	Saur-gmk_-4	Saur-glpf-1	Saur-aroe-4	Saur-arcc-1	Saur-tpi_-1	Saur-yqil-10
Saur-ST-6	Saur-pta_-12	Saur-gmk_-4	Saur-glpf-1	Saur-aroe-4	Saur-arcc-12	Saur-tpi_-1	Saur-yqil-3
Saur-ST-7	Saur-pta_-4	Saur-gmk_-4	Saur-glpf-1	Saur-aroe-4	Saur-arcc-5	Saur-tpi_-6	Saur-yqil-3
Saur-ST-8	Saur-pta_-4	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-3	Saur-arcc-3	Saur-tpi_-4	Saur-yqil-3
Saur-ST-9	Saur-pta_-1	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-3	Saur-arcc-3	Saur-tpi_-1	Saur-yqil-10
Saur-ST-10	Saur-pta_-9	Saur-gmk_-2	Saur-glpf-6	Saur-aroe-7	Saur-arcc-8	Saur-tpi_-9	Saur-yqil-7
Saur-ST-11	Saur-pta_-12	Saur-gmk_-4	Saur-glpf-1	Saur-aroe-24	Saur-arcc-1	Saur-tpi_-1	Saur-yqil-10
Saur-ST-12	Saur-pta_-11	Saur-gmk_-8	Saur-glpf-1	Saur-aroe-3	Saur-arcc-1	Saur-tpi_-5	Saur-yqil-11
Saur-ST-13	Saur-pta_-11	Saur-gmk_-10	Saur-glpf-1	Saur-aroe-3	Saur-arcc-1	Saur-tpi_-5	Saur-yqil-11
Saur-ST-14	Saur-pta_-12	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-13	Saur-arcc-1	Saur-tpi_-11	Saur-yqil-13
Saur-ST-15	Saur-pta_-12	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-13	Saur-arcc-13	Saur-tpi_-11	Saur-yqil-13
Saur-ST-16	Saur-pta_-12	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-13	Saur-arcc-15	Saur-tpi_-11	Saur-yqil-13
Saur-ST-17	Saur-pta_-19	Saur-gmk_-2	Saur-glpf-2	Saur-aroe-23	Saur-arcc-2	Saur-tpi_-20	Saur-yqil-2
Saur-ST-18	Saur-pta_-12	Saur-gmk_-1	Saur-glpf-1	Saur-aroe-15	Saur-arcc-13	Saur-tpi_-11	Saur-yqil-13
Saur-ST-19	Saur-pta_-7	Saur-gmk_-2	Saur-glpf-2	Saur-aroe-2	Saur-arcc-2	Saur-tpi_-17	Saur-yqil-19
Saur-ST-20	Saur-pta_-1	Saur-gmk_-8	Saur-glpf-1	Saur-aroe-9	Saur-arcc-4	Saur-tpi_-10	Saur-yqil-8
Saur-ST-21	Saur-pta_-8	Saur-gmk_-5	Saur-glpf-13	Saur-aroe-6	Saur-arcc-7	Saur-tpi_-8	Saur-yqil-6
Saur-ST-22	Saur-pta_-8	Saur-gmk_-5	Saur-glpf-1	Saur-aroe-6	Saur-arcc-7	Saur-tpi_-8	Saur-yqil-6
