stid	a1	a2	a3	a4	a5	a6	a7
Sent-ST-1	Sent-HISD-1	Sent-HEMD-1	Sent-THRA-5	Sent-SUCA-1	Sent-AROC-1	Sent-PURE-1	Sent-DNAN-1
Sent-ST-2	Sent-HISD-1	Sent-HEMD-2	Sent-THRA-5	Sent-SUCA-1	Sent-AROC-1	Sent-PURE-1	Sent-DNAN-1
Sent-ST-3	Sent-HISD-1	Sent-HEMD-2	Sent-THRA-9	Sent-SUCA-1	Sent-AROC-1	Sent-PURE-1	Sent-DNAN-1
Sent-ST-4	Sent-HISD-13	Sent-HEMD-16	Sent-THRA-4	Sent-SUCA-13	Sent-AROC-43	Sent-PURE-34	Sent-DNAN-41
Sent-ST-5	Sent-HISD-43	Sent-HEMD-45	Sent-THRA-42	Sent-SUCA-39	Sent-AROC-16	Sent-PURE-36	Sent-DNAN-43
Sent-ST-6	Sent-HISD-5	Sent-HEMD-4	Sent-THRA-8	Sent-SUCA-4	Sent-AROC-4	Sent-PURE-4	Sent-DNAN-4
Sent-ST-7	Sent-HISD-2	Sent-HEMD-3	Sent-THRA-6	Sent-SUCA-2	Sent-AROC-2	Sent-PURE-2	Sent-DNAN-2
Sent-ST-8	Sent-HISD-3	Sent-HEMD-2	Sent-THRA-5	Sent-SUCA-1	Sent-AROC-1	Sent-PURE-1	Sent-DNAN-1
Sent-ST-9	Sent-HISD-55	Sent-HEMD-30	Sent-THRA-134	Sent-SUCA-87	Sent-AROC-33	Sent-PURE-21	Sent-DNAN-26
Sent-ST-10	Sent-HISD-6	Sent-HEMD-3	Sent-THRA-10	Sent-SUCA-5	Sent-AROC-5	Sent-PURE-5	Sent-DNAN-2
Sent-ST-11	Sent-HISD-7	Sent-HEMD-3	Sent-THRA-11	Sent-SUCA-6	Sent-AROC-5	Sent-PURE-6	Sent-DNAN-2
Sent-ST-12	Sent-HISD-7	Sent-HEMD-6	Sent-THRA-12	Sent-SUCA-7	Sent-AROC-6	Sent-PURE-5	Sent-DNAN-5
Sent-ST-13	Sent-HISD-4	Sent-HEMD-7	Sent-THRA-7	Sent-SUCA-3	Sent-AROC-3	Sent-PURE-3	Sent-DNAN-3
Sent-ST-14	Sent-HISD-8	Sent-HEMD-8	Sent-THRA-13	Sent-SUCA-8	Sent-AROC-7	Sent-PURE-7	Sent-DNAN-6
Sent-ST-15	Sent-HISD-9	Sent-HEMD-9	Sent-THRA-12	Sent-SUCA-9	Sent-AROC-2	Sent-PURE-5	Sent-DNAN-7
Sent-ST-16	Sent-HISD-10	Sent-HEMD-10	Sent-THRA-14	Sent-SUCA-10	Sent-AROC-6	Sent-PURE-8	Sent-DNAN-7
Sent-ST-17	Sent-HISD-11	Sent-HEMD-11	Sent-THRA-15	Sent-SUCA-11	Sent-AROC-8	Sent-PURE-5	Sent-DNAN-8
Sent-ST-18	Sent-HISD-12	Sent-HEMD-6	Sent-THRA-2	Sent-SUCA-12	Sent-AROC-9	Sent-PURE-9	Sent-DNAN-9
Sent-ST-19	Sent-HISD-9	Sent-HEMD-12	Sent-THRA-2	Sent-SUCA-9	Sent-AROC-10	Sent-PURE-5	Sent-DNAN-7
Sent-ST-20	Sent-HISD-13	Sent-HEMD-13	Sent-THRA-4	Sent-SUCA-13	Sent-AROC-11	Sent-PURE-10	Sent-DNAN-10
Sent-ST-21	Sent-HISD-14	Sent-HEMD-14	Sent-THRA-16	Sent-SUCA-14	Sent-AROC-12	Sent-PURE-11	Sent-DNAN-2
Sent-ST-22	Sent-HISD-14	Sent-HEMD-15	Sent-THRA-16	Sent-SUCA-14	Sent-AROC-12	Sent-PURE-11	Sent-DNAN-2
Sent-ST-23	Sent-HISD-15	Sent-HEMD-16	Sent-THRA-4	Sent-SUCA-15	Sent-AROC-13	Sent-PURE-12	Sent-DNAN-11
Sent-ST-24	Sent-HISD-16	Sent-HEMD-17	Sent-THRA-4	Sent-SUCA-16	Sent-AROC-13	Sent-PURE-13	Sent-DNAN-12
Sent-ST-25	Sent-HISD-12	Sent-HEMD-18	Sent-THRA-1	Sent-SUCA-17	Sent-AROC-14	Sent-PURE-14	Sent-DNAN-13
Sent-ST-26	Sent-HISD-12	Sent-HEMD-18	Sent-THRA-1	Sent-SUCA-18	Sent-AROC-14	Sent-PURE-14	Sent-DNAN-13
Sent-ST-27	Sent-HISD-9	Sent-HEMD-18	Sent-THRA-17	Sent-SUCA-12	Sent-AROC-5	Sent-PURE-6	Sent-DNAN-14
Sent-ST-28	Sent-HISD-17	Sent-HEMD-19	Sent-THRA-18	Sent-SUCA-19	Sent-AROC-15	Sent-PURE-5	Sent-DNAN-15
Sent-ST-29	Sent-HISD-18	Sent-HEMD-20	Sent-THRA-18	Sent-SUCA-12	Sent-AROC-16	Sent-PURE-8	Sent-DNAN-16
Sent-ST-30	Sent-HISD-12	Sent-HEMD-21	Sent-THRA-18	Sent-SUCA-20	Sent-AROC-10	Sent-PURE-15	Sent-DNAN-17
Sent-ST-31	Sent-HISD-14	Sent-HEMD-15	Sent-THRA-12	Sent-SUCA-20	Sent-AROC-2	Sent-PURE-15	Sent-DNAN-2
Sent-ST-32	Sent-HISD-17	Sent-HEMD-22	Sent-THRA-19	Sent-SUCA-21	Sent-AROC-17	Sent-PURE-5	Sent-DNAN-18
Sent-ST-33	Sent-HISD-7	Sent-HEMD-6	Sent-THRA-12	Sent-SUCA-7	Sent-AROC-2	Sent-PURE-5	Sent-DNAN-5
Sent-ST-34	Sent-HISD-9	Sent-HEMD-12	Sent-THRA-2	Sent-SUCA-9	Sent-AROC-10	Sent-PURE-5	Sent-DNAN-19
Sent-ST-35	Sent-HISD-9	Sent-HEMD-12	Sent-THRA-20	Sent-SUCA-9	Sent-AROC-10	Sent-PURE-5	Sent-DNAN-7
Sent-ST-36	Sent-HISD-9	Sent-HEMD-12	Sent-THRA-21	Sent-SUCA-18	Sent-AROC-18	Sent-PURE-5	Sent-DNAN-14
Sent-ST-37	Sent-HISD-19	Sent-HEMD-7	Sent-THRA-7	Sent-SUCA-3	Sent-AROC-3	Sent-PURE-3	Sent-DNAN-3
Sent-ST-38	Sent-HISD-10	Sent-HEMD-10	Sent-THRA-14	Sent-SUCA-10	Sent-AROC-2	Sent-PURE-8	Sent-DNAN-7
Sent-ST-39	Sent-HISD-20	Sent-HEMD-3	Sent-THRA-22	Sent-SUCA-2	Sent-AROC-19	Sent-PURE-5	Sent-DNAN-20
Sent-ST-40	Sent-HISD-20	Sent-HEMD-3	Sent-THRA-22	Sent-SUCA-22	Sent-AROC-19	Sent-PURE-5	Sent-DNAN-20
Sent-ST-41	Sent-HISD-17	Sent-HEMD-12	Sent-THRA-19	Sent-SUCA-21	Sent-AROC-17	Sent-PURE-5	Sent-DNAN-18
Sent-ST-42	Sent-HISD-14	Sent-HEMD-23	Sent-THRA-18	Sent-SUCA-19	Sent-AROC-20	Sent-PURE-16	Sent-DNAN-4
Sent-ST-43	Sent-HISD-14	Sent-HEMD-24	Sent-THRA-8	Sent-SUCA-19	Sent-AROC-2	Sent-PURE-2	Sent-DNAN-14
Sent-ST-44	Sent-HISD-7	Sent-HEMD-6	Sent-THRA-2	Sent-SUCA-12	Sent-AROC-9	Sent-PURE-9	Sent-DNAN-9
Sent-ST-45	Sent-HISD-14	Sent-HEMD-21	Sent-THRA-12	Sent-SUCA-12	Sent-AROC-10	Sent-PURE-15	Sent-DNAN-7
Sent-ST-46	Sent-HISD-12	Sent-HEMD-21	Sent-THRA-12	Sent-SUCA-12	Sent-AROC-10	Sent-PURE-15	Sent-DNAN-7
Sent-ST-47	Sent-HISD-15	Sent-HEMD-16	Sent-THRA-4	Sent-SUCA-15	Sent-AROC-21	Sent-PURE-12	Sent-DNAN-11
Sent-ST-48	Sent-HISD-21	Sent-HEMD-25	Sent-THRA-23	Sent-SUCA-23	Sent-AROC-22	Sent-PURE-10	Sent-DNAN-11
Sent-ST-49	Sent-HISD-9	Sent-HEMD-21	Sent-THRA-17	Sent-SUCA-12	Sent-AROC-5	Sent-PURE-6	Sent-DNAN-14
Sent-ST-50	Sent-HISD-9	Sent-HEMD-18	Sent-THRA-17	Sent-SUCA-12	Sent-AROC-5	Sent-PURE-6	Sent-DNAN-21
Sent-ST-51	Sent-HISD-18	Sent-HEMD-26	Sent-THRA-18	Sent-SUCA-12	Sent-AROC-16	Sent-PURE-8	Sent-DNAN-16
Sent-ST-52	Sent-HISD-12	Sent-HEMD-15	Sent-THRA-12	Sent-SUCA-20	Sent-AROC-23	Sent-PURE-17	Sent-DNAN-9
Sent-ST-53	Sent-HISD-22	Sent-HEMD-27	Sent-THRA-24	Sent-SUCA-24	Sent-AROC-24	Sent-PURE-18	Sent-DNAN-22
Sent-ST-54	Sent-HISD-23	Sent-HEMD-27	Sent-THRA-25	Sent-SUCA-24	Sent-AROC-25	Sent-PURE-19	Sent-DNAN-23
Sent-ST-55	Sent-HISD-24	Sent-HEMD-28	Sent-THRA-26	Sent-SUCA-25	Sent-AROC-26	Sent-PURE-20	Sent-DNAN-24
Sent-ST-56	Sent-HISD-24	Sent-HEMD-29	Sent-THRA-27	Sent-SUCA-26	Sent-AROC-27	Sent-PURE-20	Sent-DNAN-25
Sent-ST-57	Sent-HISD-25	Sent-HEMD-30	Sent-THRA-28	Sent-SUCA-27	Sent-AROC-28	Sent-PURE-21	Sent-DNAN-26
Sent-ST-58	Sent-HISD-26	Sent-HEMD-30	Sent-THRA-28	Sent-SUCA-28	Sent-AROC-29	Sent-PURE-21	Sent-DNAN-27
Sent-ST-59	Sent-HISD-27	Sent-HEMD-31	Sent-THRA-29	Sent-SUCA-29	Sent-AROC-30	Sent-PURE-22	Sent-DNAN-28
