stid	a1	a2	a3	a4	a5	a6	a7
Ssui-ST-1	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-2	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-2	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-3	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-16	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-4	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-9	Ssui-cpn60-1
Ssui-ST-5	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-40	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-6	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-2	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-7	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-3	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-8	Ssui-dpr-1	Ssui-mutS-28	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-9	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-35	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-10	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-10
Ssui-ST-11	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-3	Ssui-cpn60-1
Ssui-ST-12	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-2	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-3	Ssui-cpn60-1
Ssui-ST-13	Ssui-dpr-1	Ssui-mutS-6	Ssui-recA-21	Ssui-thrA-21	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-12
Ssui-ST-14	Ssui-dpr-5	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-1	Ssui-gki-12	Ssui-aroA-18	Ssui-cpn60-1
Ssui-ST-15	Ssui-dpr-5	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-8	Ssui-cpn60-8
Ssui-ST-16	Ssui-dpr-5	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-5	Ssui-cpn60-17
Ssui-ST-17	Ssui-dpr-5	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-1	Ssui-gki-12	Ssui-aroA-8	Ssui-cpn60-1
Ssui-ST-18	Ssui-dpr-5	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-1	Ssui-gki-12	Ssui-aroA-31	Ssui-cpn60-1
Ssui-ST-19	Ssui-dpr-24	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-1	Ssui-cpn60-8
Ssui-ST-20	Ssui-dpr-5	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-1	Ssui-gki-12	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-21	Ssui-dpr-24	Ssui-mutS-1	Ssui-recA-9	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-18	Ssui-cpn60-8
Ssui-ST-22	Ssui-dpr-24	Ssui-mutS-1	Ssui-recA-11	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-18	Ssui-cpn60-8
Ssui-ST-23	Ssui-dpr-24	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-26	Ssui-cpn60-8
Ssui-ST-24	Ssui-dpr-24	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-6	Ssui-cpn60-21
Ssui-ST-25	Ssui-dpr-5	Ssui-mutS-30	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-9	Ssui-cpn60-30
Ssui-ST-26	Ssui-dpr-5	Ssui-mutS-31	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-2	Ssui-cpn60-26
Ssui-ST-27	Ssui-dpr-5	Ssui-mutS-31	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-31	Ssui-cpn60-30
Ssui-ST-28	Ssui-dpr-5	Ssui-mutS-31	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-2	Ssui-cpn60-30
Ssui-ST-29	Ssui-dpr-5	Ssui-mutS-30	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-8	Ssui-cpn60-30
Ssui-ST-30	Ssui-dpr-5	Ssui-mutS-31	Ssui-recA-3	Ssui-thrA-22	Ssui-gki-34	Ssui-aroA-30	Ssui-cpn60-30
Ssui-ST-31	Ssui-dpr-5	Ssui-mutS-31	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-30	Ssui-cpn60-30
Ssui-ST-32	Ssui-dpr-5	Ssui-mutS-30	Ssui-recA-21	Ssui-thrA-4	Ssui-gki-34	Ssui-aroA-8	Ssui-cpn60-30
Ssui-ST-33	Ssui-dpr-4	Ssui-mutS-31	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-31	Ssui-cpn60-30
Ssui-ST-34	Ssui-dpr-5	Ssui-mutS-30	Ssui-recA-21	Ssui-thrA-4	Ssui-gki-34	Ssui-aroA-8	Ssui-cpn60-43
Ssui-ST-35	Ssui-dpr-5	Ssui-mutS-31	Ssui-recA-4	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-31	Ssui-cpn60-30
Ssui-ST-36	Ssui-dpr-35	Ssui-mutS-9	Ssui-recA-33	Ssui-thrA-20	Ssui-gki-25	Ssui-aroA-24	Ssui-cpn60-30
Ssui-ST-37	Ssui-dpr-5	Ssui-mutS-14	Ssui-recA-29	Ssui-thrA-12	Ssui-gki-6	Ssui-aroA-25	Ssui-cpn60-39
Ssui-ST-38	Ssui-dpr-8	Ssui-mutS-6	Ssui-recA-7	Ssui-thrA-24	Ssui-gki-13	Ssui-aroA-31	Ssui-cpn60-7
Ssui-ST-39	Ssui-dpr-19	Ssui-mutS-5	Ssui-recA-10	Ssui-thrA-9	Ssui-gki-14	Ssui-aroA-21	Ssui-cpn60-25
Ssui-ST-40	Ssui-dpr-14	Ssui-mutS-8	Ssui-recA-32	Ssui-thrA-27	Ssui-gki-14	Ssui-aroA-37	Ssui-cpn60-10
Ssui-ST-41	Ssui-dpr-9	Ssui-mutS-16	Ssui-recA-26	Ssui-thrA-11	Ssui-gki-4	Ssui-aroA-15	Ssui-cpn60-27
Ssui-ST-42	Ssui-dpr-32	Ssui-mutS-25	Ssui-recA-38	Ssui-thrA-12	Ssui-gki-28	Ssui-aroA-13	Ssui-cpn60-13
Ssui-ST-43	Ssui-dpr-27	Ssui-mutS-37	Ssui-recA-28	Ssui-thrA-29	Ssui-gki-9	Ssui-aroA-35	Ssui-cpn60-36
Ssui-ST-44	Ssui-dpr-25	Ssui-mutS-6	Ssui-recA-12	Ssui-thrA-6	Ssui-gki-10	Ssui-aroA-32	Ssui-cpn60-19
Ssui-ST-45	Ssui-dpr-5	Ssui-mutS-36	Ssui-recA-24	Ssui-thrA-31	Ssui-gki-7	Ssui-aroA-28	Ssui-cpn60-31
Ssui-ST-46	Ssui-dpr-21	Ssui-mutS-14	Ssui-recA-6	Ssui-thrA-8	Ssui-gki-7	Ssui-aroA-17	Ssui-cpn60-3
Ssui-ST-47	Ssui-dpr-9	Ssui-mutS-7	Ssui-recA-30	Ssui-thrA-12	Ssui-gki-29	Ssui-aroA-25	Ssui-cpn60-24
Ssui-ST-48	Ssui-dpr-20	Ssui-mutS-38	Ssui-recA-5	Ssui-thrA-27	Ssui-gki-46	Ssui-aroA-37	Ssui-cpn60-41
Ssui-ST-49	Ssui-dpr-16	Ssui-mutS-35	Ssui-recA-21	Ssui-thrA-6	Ssui-gki-26	Ssui-aroA-31	Ssui-cpn60-3
Ssui-ST-50	Ssui-dpr-21	Ssui-mutS-14	Ssui-recA-6	Ssui-thrA-8	Ssui-gki-15	Ssui-aroA-17	Ssui-cpn60-42
Ssui-ST-51	Ssui-dpr-26	Ssui-mutS-6	Ssui-recA-12	Ssui-thrA-20	Ssui-gki-13	Ssui-aroA-29	Ssui-cpn60-19
Ssui-ST-52	Ssui-dpr-27	Ssui-mutS-37	Ssui-recA-18	Ssui-thrA-29	Ssui-gki-9	Ssui-aroA-35	Ssui-cpn60-36
Ssui-ST-53	Ssui-dpr-18	Ssui-mutS-28	Ssui-recA-7	Ssui-thrA-5	Ssui-gki-20	Ssui-aroA-8	Ssui-cpn60-6
Ssui-ST-54	Ssui-dpr-18	Ssui-mutS-28	Ssui-recA-7	Ssui-thrA-4	Ssui-gki-20	Ssui-aroA-8	Ssui-cpn60-6
Ssui-ST-55	Ssui-dpr-15	Ssui-mutS-15	Ssui-recA-23	Ssui-thrA-10	Ssui-gki-41	Ssui-aroA-25	Ssui-cpn60-37
Ssui-ST-56	Ssui-dpr-17	Ssui-mutS-29	Ssui-recA-21	Ssui-thrA-15	Ssui-gki-36	Ssui-aroA-1	Ssui-cpn60-2
Ssui-ST-57	Ssui-dpr-11	Ssui-mutS-12	Ssui-recA-25	Ssui-thrA-18	Ssui-gki-43	Ssui-aroA-27	Ssui-cpn60-22
Ssui-ST-58	Ssui-dpr-17	Ssui-mutS-29	Ssui-recA-21	Ssui-thrA-15	Ssui-gki-37	Ssui-aroA-1	Ssui-cpn60-2
Ssui-ST-59	Ssui-dpr-5	Ssui-mutS-2	Ssui-recA-22	Ssui-thrA-4	Ssui-gki-44	Ssui-aroA-17	Ssui-cpn60-21
Ssui-ST-60	Ssui-dpr-18	Ssui-mutS-17	Ssui-recA-8	Ssui-thrA-15	Ssui-gki-38	Ssui-aroA-31	Ssui-cpn60-30
Ssui-ST-61	Ssui-dpr-5	Ssui-mutS-2	Ssui-recA-22	Ssui-thrA-4	Ssui-gki-45	Ssui-aroA-17	Ssui-cpn60-21
Ssui-ST-62	Ssui-dpr-28	Ssui-mutS-18	Ssui-recA-16	Ssui-thrA-32	Ssui-gki-8	Ssui-aroA-7	Ssui-cpn60-31
Ssui-ST-63	Ssui-dpr-12	Ssui-mutS-24	Ssui-recA-39	Ssui-thrA-16	Ssui-gki-39	Ssui-aroA-19	Ssui-cpn60-29
Ssui-ST-64	Ssui-dpr-5	Ssui-mutS-2	Ssui-recA-22	Ssui-thrA-4	Ssui-gki-45	Ssui-aroA-8	Ssui-cpn60-21
Ssui-ST-65	Ssui-dpr-23	Ssui-mutS-23	Ssui-recA-31	Ssui-thrA-17	Ssui-gki-27	Ssui-aroA-10	Ssui-cpn60-16
Ssui-ST-66	Ssui-dpr-10	Ssui-mutS-33	Ssui-recA-17	Ssui-thrA-30	Ssui-gki-42	Ssui-aroA-38	Ssui-cpn60-35
Ssui-ST-67	Ssui-dpr-11	Ssui-mutS-12	Ssui-recA-27	Ssui-thrA-11	Ssui-gki-22	Ssui-aroA-27	Ssui-cpn60-15
Ssui-ST-68	Ssui-dpr-31	Ssui-mutS-27	Ssui-recA-34	Ssui-thrA-18	Ssui-gki-27	Ssui-aroA-14	Ssui-cpn60-20
Ssui-ST-69	Ssui-dpr-22	Ssui-mutS-3	Ssui-recA-15	Ssui-thrA-12	Ssui-gki-30	Ssui-aroA-23	Ssui-cpn60-33
Ssui-ST-70	Ssui-dpr-30	Ssui-mutS-32	Ssui-recA-26	Ssui-thrA-7	Ssui-gki-15	Ssui-aroA-38	Ssui-cpn60-28
Ssui-ST-71	Ssui-dpr-13	Ssui-mutS-26	Ssui-recA-36	Ssui-thrA-14	Ssui-gki-11	Ssui-aroA-11	Ssui-cpn60-5
Ssui-ST-72	Ssui-dpr-33	Ssui-mutS-19	Ssui-recA-35	Ssui-thrA-19	Ssui-gki-3	Ssui-aroA-12	Ssui-cpn60-9
Ssui-ST-73	Ssui-dpr-2	Ssui-mutS-13	Ssui-recA-5	Ssui-thrA-12	Ssui-gki-19	Ssui-aroA-33	Ssui-cpn60-37
Ssui-ST-74	Ssui-dpr-6	Ssui-mutS-10	Ssui-recA-14	Ssui-thrA-6	Ssui-gki-31	Ssui-aroA-31	Ssui-cpn60-2
Ssui-ST-75	Ssui-dpr-9	Ssui-mutS-9	Ssui-recA-13	Ssui-thrA-8	Ssui-gki-15	Ssui-aroA-25	Ssui-cpn60-32
Ssui-ST-76	Ssui-dpr-36	Ssui-mutS-21	Ssui-recA-22	Ssui-thrA-12	Ssui-gki-24	Ssui-aroA-8	Ssui-cpn60-23
Ssui-ST-77	Ssui-dpr-7	Ssui-mutS-11	Ssui-recA-3	Ssui-thrA-8	Ssui-gki-32	Ssui-aroA-39	Ssui-cpn60-38
Ssui-ST-78	Ssui-dpr-5	Ssui-mutS-22	Ssui-recA-20	Ssui-thrA-8	Ssui-gki-7	Ssui-aroA-23	Ssui-cpn60-11
Ssui-ST-79	Ssui-dpr-36	Ssui-mutS-21	Ssui-recA-22	Ssui-thrA-12	Ssui-gki-45	Ssui-aroA-8	Ssui-cpn60-21
Ssui-ST-80	Ssui-dpr-3	Ssui-mutS-2	Ssui-recA-22	Ssui-thrA-23	Ssui-gki-45	Ssui-aroA-8	Ssui-cpn60-21
Ssui-ST-81	Ssui-dpr-20	Ssui-mutS-4	Ssui-recA-21	Ssui-thrA-26	Ssui-gki-21	Ssui-aroA-22	Ssui-cpn60-1
Ssui-ST-82	Ssui-dpr-29	Ssui-mutS-34	Ssui-recA-19	Ssui-thrA-28	Ssui-gki-5	Ssui-aroA-25	Ssui-cpn60-34
Ssui-ST-83	Ssui-dpr-5	Ssui-mutS-39	Ssui-recA-3	Ssui-thrA-25	Ssui-gki-34	Ssui-aroA-8	Ssui-cpn60-30
Ssui-ST-84	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-1	Ssui-gki-1	Ssui-aroA-4	Ssui-cpn60-1
Ssui-ST-85	Ssui-dpr-37	Ssui-mutS-20	Ssui-recA-40	Ssui-thrA-21	Ssui-gki-33	Ssui-aroA-34	Ssui-cpn60-14
Ssui-ST-86	Ssui-dpr-1	Ssui-mutS-1	Ssui-recA-1	Ssui-thrA-25	Ssui-gki-1	Ssui-aroA-1	Ssui-cpn60-1
Ssui-ST-87	Ssui-dpr-24	Ssui-mutS-1	Ssui-recA-10	Ssui-thrA-4	Ssui-gki-12	Ssui-aroA-18	Ssui-cpn60-8
