Cdif-ST-1	Cdif-recA-1	Cdif-dxr-1	Cdif-tpi-5	Cdif-glyA-10	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-2	Cdif-recA-5	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-3	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-4	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-2	Cdif-adk-1
Cdif-ST-5	Cdif-recA-2	Cdif-dxr-4	Cdif-tpi-7	Cdif-glyA-7	Cdif-sodA-8	Cdif-atpA-6	Cdif-adk-1
Cdif-ST-6	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-7	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-8	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-9	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-6	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-10	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-11	Cdif-recA-9	Cdif-dxr-5	Cdif-tpi-8	Cdif-glyA-11	Cdif-sodA-11	Cdif-atpA-8	Cdif-adk-5
