stid	a1	a2	a3	a4	a5	a6	a7
Eclo-ST-1	Eclo-gyrB-1	Eclo-dnaA-1	Eclo-rpoB-1	Eclo-leuS-1	Eclo-fusA-1	Eclo-pyrG-1	Eclo-rplB-1
Eclo-ST-2	Eclo-gyrB-2	Eclo-dnaA-2	Eclo-rpoB-2	Eclo-leuS-2	Eclo-fusA-2	Eclo-pyrG-2	Eclo-rplB-2
Eclo-ST-3	Eclo-gyrB-3	Eclo-dnaA-3	Eclo-rpoB-3	Eclo-leuS-3	Eclo-fusA-3	Eclo-pyrG-3	Eclo-rplB-3
Eclo-ST-4	Eclo-gyrB-4	Eclo-dnaA-4	Eclo-rpoB-4	Eclo-leuS-4	Eclo-fusA-4	Eclo-pyrG-4	Eclo-rplB-4
Eclo-ST-5	Eclo-gyrB-2	Eclo-dnaA-5	Eclo-rpoB-5	Eclo-leuS-5	Eclo-fusA-5	Eclo-pyrG-5	Eclo-rplB-5
Eclo-ST-6	Eclo-gyrB-4	Eclo-dnaA-6	Eclo-rpoB-6	Eclo-leuS-6	Eclo-fusA-6	Eclo-pyrG-6	Eclo-rplB-4
Eclo-ST-7	Eclo-gyrB-5	Eclo-dnaA-7	Eclo-rpoB-7	Eclo-leuS-7	Eclo-fusA-7	Eclo-pyrG-7	Eclo-rplB-6
Eclo-ST-8	Eclo-gyrB-9	Eclo-dnaA-10	Eclo-rpoB-33	Eclo-leuS-12	Eclo-fusA-10	Eclo-pyrG-13	Eclo-rplB-4
Eclo-ST-9	Eclo-gyrB-4	Eclo-dnaA-11	Eclo-rpoB-9	Eclo-leuS-13	Eclo-fusA-4	Eclo-pyrG-14	Eclo-rplB-4
Eclo-ST-10	Eclo-gyrB-4	Eclo-dnaA-11	Eclo-rpoB-6	Eclo-leuS-40	Eclo-fusA-4	Eclo-pyrG-39	Eclo-rplB-4
Eclo-ST-11	Eclo-gyrB-48	Eclo-dnaA-12	Eclo-rpoB-14	Eclo-leuS-18	Eclo-fusA-2	Eclo-pyrG-54	Eclo-rplB-13
Eclo-ST-12	Eclo-gyrB-45	Eclo-dnaA-13	Eclo-rpoB-14	Eclo-leuS-24	Eclo-fusA-2	Eclo-pyrG-52	Eclo-rplB-2
Eclo-ST-13	Eclo-gyrB-45	Eclo-dnaA-13	Eclo-rpoB-14	Eclo-leuS-27	Eclo-fusA-2	Eclo-pyrG-56	Eclo-rplB-2
Eclo-ST-14	Eclo-gyrB-47	Eclo-dnaA-13	Eclo-rpoB-14	Eclo-leuS-23	Eclo-fusA-2	Eclo-pyrG-53	Eclo-rplB-2
Eclo-ST-15	Eclo-gyrB-30	Eclo-dnaA-14	Eclo-rpoB-14	Eclo-leuS-20	Eclo-fusA-2	Eclo-pyrG-51	Eclo-rplB-2
Eclo-ST-16	Eclo-gyrB-40	Eclo-dnaA-15	Eclo-rpoB-14	Eclo-leuS-21	Eclo-fusA-2	Eclo-pyrG-52	Eclo-rplB-2
