stid	a1	a2	a3	a4	a5	a6	a7
Kpne-ST-1	Kpne-gapA-4	Kpne-mdh-1	Kpne-tonB-10	Kpne-infB-4	Kpne-pgi-1	Kpne-rpoB-4	Kpne-phoE-7
Kpne-ST-2	Kpne-gapA-3	Kpne-mdh-1	Kpne-tonB-17	Kpne-infB-4	Kpne-pgi-1	Kpne-rpoB-4	Kpne-phoE-9
Kpne-ST-3	Kpne-gapA-5	Kpne-mdh-1	Kpne-tonB-11	Kpne-infB-5	Kpne-pgi-1	Kpne-rpoB-6	Kpne-phoE-9
Kpne-ST-4	Kpne-gapA-3	Kpne-mdh-1	Kpne-tonB-1	Kpne-infB-1	Kpne-pgi-1	Kpne-rpoB-3	Kpne-phoE-3
Kpne-ST-5	Kpne-gapA-2	Kpne-mdh-1	Kpne-tonB-3	Kpne-infB-2	Kpne-pgi-1	Kpne-rpoB-3	Kpne-phoE-3
Kpne-ST-6	Kpne-gapA-2	Kpne-mdh-1	Kpne-tonB-20	Kpne-infB-10	Kpne-pgi-1	Kpne-rpoB-3	Kpne-phoE-14
Kpne-ST-7	Kpne-gapA-3	Kpne-mdh-1	Kpne-tonB-34	Kpne-infB-1	Kpne-pgi-4	Kpne-rpoB-1	Kpne-phoE-3
Kpne-ST-8	Kpne-gapA-4	Kpne-mdh-1	Kpne-tonB-6	Kpne-infB-1	Kpne-pgi-1	Kpne-rpoB-5	Kpne-phoE-1
Kpne-ST-9	Kpne-gapA-4	Kpne-mdh-3	Kpne-tonB-8	Kpne-infB-1	Kpne-pgi-1	Kpne-rpoB-2	Kpne-phoE-1
Kpne-ST-10	Kpne-gapA-4	Kpne-mdh-7	Kpne-tonB-12	Kpne-infB-1	Kpne-pgi-1	Kpne-rpoB-1	Kpne-phoE-9
Kpne-ST-11	Kpne-gapA-3	Kpne-mdh-1	Kpne-tonB-4	Kpne-infB-3	Kpne-pgi-1	Kpne-rpoB-1	Kpne-phoE-1
