stid	a1	a2	a3	a4	a5	a6	a7
Spne-ST-1	Spne-gki-1	Spne-spi-1	Spne-aroE-1	Spne-ddl-1	Spne-gdh-1	Spne-recP-1	Spne-xpt-1
Spne-ST-2	Spne-gki-4	Spne-spi-18	Spne-aroE-1	Spne-ddl-18	Spne-gdh-1	Spne-recP-1	Spne-xpt-13
Spne-ST-3	Spne-gki-1	Spne-spi-14	Spne-aroE-1	Spne-ddl-14	Spne-gdh-5	Spne-recP-8	Spne-xpt-11
Spne-ST-4	Spne-gki-2	Spne-spi-1	Spne-aroE-1	Spne-ddl-1	Spne-gdh-5	Spne-recP-20	Spne-xpt-1
Spne-ST-5	Spne-gki-2	Spne-spi-9	Spne-aroE-1	Spne-ddl-51	Spne-gdh-5	Spne-recP-11	Spne-xpt-3
Spne-ST-6	Spne-gki-2	Spne-spi-9	Spne-aroE-1	Spne-ddl-49	Spne-gdh-5	Spne-recP-1	Spne-xpt-3
Spne-ST-7	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-1	Spne-xpt-1
Spne-ST-8	Spne-gki-4	Spne-spi-17	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-1
Spne-ST-9	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-1
Spne-ST-10	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-10	Spne-gdh-5	Spne-recP-5	Spne-xpt-1
Spne-ST-11	Spne-gki-4	Spne-spi-10	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-1
Spne-ST-12	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-16	Spne-gdh-5	Spne-recP-4	Spne-xpt-3
Spne-ST-13	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-27
Spne-ST-14	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-14	Spne-gdh-5	Spne-recP-5	Spne-xpt-1
Spne-ST-15	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-3
Spne-ST-16	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-12	Spne-xpt-27
Spne-ST-17	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-47	Spne-gdh-5	Spne-recP-11	Spne-xpt-3
Spne-ST-18	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-16	Spne-gdh-5	Spne-recP-11	Spne-xpt-3
Spne-ST-19	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-16	Spne-gdh-5	Spne-recP-18	Spne-xpt-3
Spne-ST-20	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-3	Spne-gdh-5	Spne-recP-1	Spne-xpt-3
Spne-ST-21	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-4	Spne-gdh-5	Spne-recP-11	Spne-xpt-3
Spne-ST-22	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-52	Spne-gdh-5	Spne-recP-11	Spne-xpt-43
Spne-ST-23	Spne-gki-4	Spne-spi-35	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-3
Spne-ST-24	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-24	Spne-gdh-5	Spne-recP-5	Spne-xpt-1
Spne-ST-25	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-1	Spne-xpt-3
Spne-ST-26	Spne-gki-7	Spne-spi-26	Spne-aroE-1	Spne-ddl-14	Spne-gdh-5	Spne-recP-12	Spne-xpt-1
Spne-ST-27	Spne-gki-9	Spne-spi-14	Spne-aroE-1	Spne-ddl-6	Spne-gdh-5	Spne-recP-1	Spne-xpt-14
Spne-ST-28	Spne-gki-9	Spne-spi-9	Spne-aroE-1	Spne-ddl-6	Spne-gdh-5	Spne-recP-1	Spne-xpt-14
Spne-ST-29	Spne-gki-10	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-3
Spne-ST-30	Spne-gki-27	Spne-spi-1	Spne-aroE-1	Spne-ddl-1	Spne-gdh-5	Spne-recP-20	Spne-xpt-1
Spne-ST-31	Spne-gki-31	Spne-spi-5	Spne-aroE-1	Spne-ddl-8	Spne-gdh-5	Spne-recP-5	Spne-xpt-3
Spne-ST-32	Spne-gki-4	Spne-spi-15	Spne-aroE-1	Spne-ddl-20	Spne-gdh-6	Spne-recP-5	Spne-xpt-1
Spne-ST-33	Spne-gki-1	Spne-spi-6	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-2	Spne-xpt-4
Spne-ST-34	Spne-gki-4	Spne-spi-5	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-1	Spne-xpt-4
Spne-ST-35	Spne-gki-4	Spne-spi-23	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-1	Spne-xpt-4
Spne-ST-36	Spne-gki-4	Spne-spi-1	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-1	Spne-xpt-4
Spne-ST-37	Spne-gki-6	Spne-spi-6	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-2	Spne-xpt-4
Spne-ST-38	Spne-gki-6	Spne-spi-5	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-2	Spne-xpt-4
Spne-ST-39	Spne-gki-6	Spne-spi-22	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-2	Spne-xpt-4
Spne-ST-40	Spne-gki-9	Spne-spi-5	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-1	Spne-xpt-4
Spne-ST-41	Spne-gki-9	Spne-spi-11	Spne-aroE-1	Spne-ddl-12	Spne-gdh-8	Spne-recP-5	Spne-xpt-1
Spne-ST-42	Spne-gki-9	Spne-spi-6	Spne-aroE-1	Spne-ddl-6	Spne-gdh-8	Spne-recP-9	Spne-xpt-4
Spne-ST-43	Spne-gki-4	Spne-spi-9	Spne-aroE-1	Spne-ddl-8	Spne-gdh-10	Spne-recP-1	Spne-xpt-3
Spne-ST-44	Spne-gki-10	Spne-spi-6	Spne-aroE-1	Spne-ddl-1	Spne-gdh-11	Spne-recP-1	Spne-xpt-8
Spne-ST-45	Spne-gki-1	Spne-spi-15	Spne-aroE-1	Spne-ddl-14	Spne-gdh-12	Spne-recP-23	Spne-xpt-26
Spne-ST-46	Spne-gki-4	Spne-spi-31	Spne-aroE-1	Spne-ddl-14	Spne-gdh-12	Spne-recP-16	Spne-xpt-1
Spne-ST-47	Spne-gki-8	Spne-spi-10	Spne-aroE-1	Spne-ddl-14	Spne-gdh-13	Spne-recP-6	Spne-xpt-6
Spne-ST-48	Spne-gki-28	Spne-spi-13	Spne-aroE-1	Spne-ddl-14	Spne-gdh-26	Spne-recP-11	Spne-xpt-30
Spne-ST-49	Spne-gki-28	Spne-spi-6	Spne-aroE-1	Spne-ddl-14	Spne-gdh-26	Spne-recP-11	Spne-xpt-1
Spne-ST-50	Spne-gki-18	Spne-spi-19	Spne-aroE-2	Spne-ddl-14	Spne-gdh-1	Spne-recP-1	Spne-xpt-19
Spne-ST-51	Spne-gki-4	Spne-spi-1	Spne-aroE-7	Spne-ddl-6	Spne-gdh-14	Spne-recP-12	Spne-xpt-1
Spne-ST-52	Spne-gki-2	Spne-spi-2	Spne-aroE-2	Spne-ddl-1	Spne-gdh-2	Spne-recP-2	Spne-xpt-1
Spne-ST-53	Spne-gki-1	Spne-spi-16	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-11	Spne-xpt-3
Spne-ST-54	Spne-gki-1	Spne-spi-6	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-11	Spne-xpt-3
Spne-ST-55	Spne-gki-1	Spne-spi-16	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-12	Spne-xpt-3
Spne-ST-56	Spne-gki-1	Spne-spi-16	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-11	Spne-xpt-44
Spne-ST-57	Spne-gki-12	Spne-spi-6	Spne-aroE-2	Spne-ddl-32	Spne-gdh-5	Spne-recP-10	Spne-xpt-10
Spne-ST-58	Spne-gki-12	Spne-spi-6	Spne-aroE-2	Spne-ddl-5	Spne-gdh-5	Spne-recP-10	Spne-xpt-10
Spne-ST-59	Spne-gki-21	Spne-spi-10	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-12	Spne-xpt-21
Spne-ST-60	Spne-gki-23	Spne-spi-10	Spne-aroE-2	Spne-ddl-1	Spne-gdh-5	Spne-recP-18	Spne-xpt-3
Spne-ST-61	Spne-gki-29	Spne-spi-9	Spne-aroE-2	Spne-ddl-18	Spne-gdh-5	Spne-recP-18	Spne-xpt-3
Spne-ST-62	Spne-gki-29	Spne-spi-16	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-12	Spne-xpt-3
Spne-ST-63	Spne-gki-36	Spne-spi-17	Spne-aroE-2	Spne-ddl-14	Spne-gdh-5	Spne-recP-12	Spne-xpt-21
Spne-ST-64	Spne-gki-6	Spne-spi-16	Spne-aroE-2	Spne-ddl-14	Spne-gdh-6	Spne-recP-12	Spne-xpt-3
Spne-ST-65	Spne-gki-4	Spne-spi-10	Spne-aroE-2	Spne-ddl-27	Spne-gdh-7	Spne-recP-10	Spne-xpt-1
Spne-ST-66	Spne-gki-2	Spne-spi-6	Spne-aroE-2	Spne-ddl-1	Spne-gdh-8	Spne-recP-4	Spne-xpt-1
Spne-ST-67	Spne-gki-7	Spne-spi-6	Spne-aroE-2	Spne-ddl-1	Spne-gdh-8	Spne-recP-4	Spne-xpt-1
Spne-ST-68	Spne-gki-9	Spne-spi-12	Spne-aroE-2	Spne-ddl-13	Spne-gdh-8	Spne-recP-5	Spne-xpt-1
Spne-ST-69	Spne-gki-37	Spne-spi-6	Spne-aroE-2	Spne-ddl-1	Spne-gdh-8	Spne-recP-4	Spne-xpt-1
Spne-ST-70	Spne-gki-1	Spne-spi-6	Spne-aroE-2	Spne-ddl-1	Spne-gdh-13	Spne-recP-4	Spne-xpt-12
Spne-ST-71	Spne-gki-2	Spne-spi-6	Spne-aroE-2	Spne-ddl-1	Spne-gdh-13	Spne-recP-4	Spne-xpt-1
